Zone_ID,Code_Zone,Latitude,Longitude,Type_Sol,Bassin_Versant,Type_Occupation_Sol,Altitude_m,Pluie_Annuelle_mm,Temperature_Moyenne_C,Pente_Terrain_pct,Distance_Cours_Eau_m,Surface_Bassin_km2,Impermeabilisation_pct,Humidite_Sol_pct,Distance_Drainage_m,Nb_Inondations_Historiques,Type_Climat,Alerte_Meteo,Niveau_Nappe_m,Observation_Terrain,Risque_Inondation
ZONE-1000,CZ184654,34.73272,-5.58786,Argileux,Ouest,Mixte,6.8,6895,87.8,5.72,391.5,147.5,84.5,52.7,172,1,Mediterraneen,Non,368.7,RAS,Risque
ZONE-1001,CZ415139,34.85031,-6.08412,Rocheux,Sud,Industriel,8.7,8282,43.9,1.49,401.4,153.4,86.0,49.8,153,3,Mediterraneen,Non,387.1,RAS,Pas_de_risque
ZONE-1002,CZ401648,34.01104,-4.86908,Argileux,Ouest,Mixte,8.1,6346,61.9,2.9,413.9,88.3,56.5,49.8,135,1,Humide,Non,406.8,Zone humide,Pas_de_risque
ZONE-1003,CZ353618,34.22178,-5.62133,Rocheux,Ouest,Foret,9.4,5513,44.8,2.08,396.3,108.9,53.8,64.6,130,5,Humide,Non,393.4,RAS,Pas_de_risque
ZONE-1004,CZ599046,35.63603,-4.77854,Argileux,Est,Agricole,6.9,7664,86.8,4.18,385.4,138.7,72.0,55.3,146,4,Mediterraneen,Oui,381.7,,Risque
ZONE-1005,CZ531839,34.82207,-6.4339,Argileux,Sud,Foret,5.0,4137,67.2,4.12,362.4,140.5,78.2,49.8,178,1,Humide,Non,347.5,,Risque
ZONE-1006,CZ758271,35.02419,-6.04701,Alluvial,Nord,Urbain,10.7,8177,43.7,0.84,53.6,116.0,61.2,73.3,160,0,Mediterraneen,Non,51.4,Drainage faible,Pas_de_risque
ZONE-1007,CZ421184,35.71265,-5.69098,Argileux,Ouest,Agricole,8.8,8404,63.6,5.61,433.7,142.7,82.8,52.3,180,5,,Non,428.3,,Risque
ZONE-1008,CZ962645,35.94602,-5.7138,Rocheux,Nord,Urbain,8.3,4271,59.1,1.74,382.1,117.8,70.9,63.5,216,4,Humide,Non,368.2,RAS,Pas_de_risque
ZONE-1009,CZ788105,34.97056,-5.75463,Alluvial,Sud,Agricole,9.9,7712,39.0,0.57,53.9,131.1,82.8,48.3,200,5,Mediterraneen,Non,,RAS,Risque
ZONE-1010,CZ766326,34.67599,-5.74883,Alluvial,Est,Foret,7.7,5714,41.1,1.42,52.3,149.4,90.6,46.4,189,5,Mediterraneen,Non,52.3,Zone humide,Risque
ZONE-1011,CZ834994,34.08214,-5.70236,Rocheux,Sud,Urbain,7.9,5383,48.5,0.56,414.5,114.5,56.9,48.9,160,1,Humide,Oui,395.5,Ruissellement important,Pas_de_risque
ZONE-1012,CZ965264,34.23215,-6.40799,Sableux,Nord,Urbain,8.9,6325,54.4,2.53,224.3,116.9,55.2,60.8,137,5,Humide,Non,223.9,,Pas_de_risque
ZONE-1013,CZ707274,35.64085,-5.19703,Argileux,Ouest,Urbain,9.5,7979,67.2,2.29,392.4,143.4,79.7,61.3,253,8,Mediterraneen,Non,387.8,Zone humide,Risque
ZONE-1014,CZ296582,34.82524,-5.75596,Argileux,Nord,Urbain,8.3,6390,69.9,4.21,389.4,162.3,88.2,53.1,207,3,Mediterraneen,Non,384.0,Zone humide,Pas_de_risque
ZONE-1015,CZ297775,34.42546,-4.60761,Rocheux,Ouest,Foret,10.7,8315,41.6,0.83,395.1,191.6,115.0,50.1,209,3,Mediterraneen,Oui,386.2,Sol sature,Risque
ZONE-1016,CZ792440,34.74128,-4.8744,Rocheux,Nord,Foret,1.6,9500,43.8,1.9,409.2,165.4,94.3,59.4,142,0,Mediterraneen,Oui,408.2,Ruissellement important,Risque
ZONE-1017,CZ604492,34.87267,-4.89578,Rocheux,Sud,Mixte,11.6,6056,40.5,0.91,376.2,145.7,72.9,36.6,232,4,Mediterraneen,Non,,RAS,Pas_de_risque
ZONE-1018,CZ644447,34.15547,-4.55121,Alluvial,Nord,Industriel,8.8,7270,52.7,1.36,46.3,192.6,100.3,70.7,176,2,Mediterraneen,Non,47.3,RAS,Pas_de_risque
ZONE-1019,CZ962312,35.13816,-6.37298,Sableux,Nord,Agricole,3.3,8083,63.0,3.32,239.4,131.3,79.8,59.3,185,2,Mediterraneen,Non,,RAS,Pas_de_risque
ZONE-1020,CZ740053,35.04033,-4.79564,Sableux,Nord,Urbain,7.5,5261,60.4,3.3,217.2,111.5,61.3,61.6,194,2,Humide,Non,208.0,Sol sature,Risque
ZONE-1021,CZ608041,35.39528,-4.90706,Alluvial,Nord,Mixte,0.5,6348,42.6,1.69,48.8,157.6,78.6,66.9,83,2,Mediterraneen,Non,,RAS,Pas_de_risque
ZONE-1022,CZ441396,34.55718,-6.14598,Alluvial,Sud,Agricole,7.5,7724,45.7,0.62,47.5,127.8,77.1,53.4,196,2,Mediterraneen,Oui,46.0,RAS,Risque
ZONE-1023,CZ358930,34.12468,-6.20452,Sableux,Sud,Agricole,6.5,4135,59.0,2.58,253.6,96.9,60.6,50.3,168,2,Humide,Non,248.7,Sol sature,Pas_de_risque
ZONE-1024,CZ462920,34.86332,-6.24484,Rocheux,Ouest,Foret,7.1,5957,34.8,1.6,388.7,103.2,60.9,48.4,225,2,Mediterraneen,Non,387.7,Sol sature,Pas_de_risque
ZONE-1025,CZ289139,35.93599,-5.0781,Argileux,Ouest,Foret,1.7,7172,65.8,3.29,421.4,141.2,77.5,62.4,123,3,Mediterraneen,Non,,Zone humide,Risque
ZONE-1026,CZ886667,35.85906,-4.83876,Sableux,Nord,Urbain,9.3,5040,63.5,1.83,222.2,132.8,78.6,55.3,219,3,Mediterraneen,Non,215.2,RAS,Pas_de_risque
ZONE-1027,CZ502400,35.07956,-5.62251,Sableux,Ouest,Industriel,9.4,6954,68.6,3.2,239.2,149.8,85.7,59.2,208,4,Mediterraneen,Non,228.2,Ruissellement important,Risque
ZONE-1028,CZ343322,35.13978,-4.97508,Argileux,Ouest,Agricole,8.2,8202,57.2,6.17,406.1,137.8,73.0,71.9,181,1,Mediterraneen,Non,,Drainage faible,Risque
ZONE-1029,CZ770688,34.27823,-6.29841,Rocheux,Nord,Foret,13.8,5986,68.2,1.59,361.4,145.4,73.4,72.0,245,4,Mediterraneen,Non,,Sol sature,Pas_de_risque
ZONE-1030,CZ157545,34.79801,-6.39048,Argileux,Ouest,Industriel,8.8,7491,64.1,5.37,433.9,185.4,94.1,52.4,145,3,Mediterraneen,Non,424.1,,Risque
ZONE-1031,CZ670451,35.32707,-6.14393,Alluvial,Nord,Agricole,9.8,7295,31.3,0.68,46.7,173.9,98.0,47.5,179,3,Mediterraneen,Non,45.2,Drainage faible,Pas_de_risque
ZONE-1032,CZ951587,34.99402,-4.96929,Sableux,Est,Industriel,5.9,6016,57.0,1.51,246.2,128.8,74.0,38.1,107,3,Mediterraneen,Non,248.5,,Pas_de_risque
ZONE-1033,CZ427073,35.30549,-6.02363,Argileux,Ouest,Industriel,9.8,5475,68.4,4.72,408.7,122.8,68.7,56.2,163,1,Mediterraneen,Oui,394.6,Zone humide,Risque
ZONE-1034,CZ238155,35.54767,-5.77448,Alluvial,Ouest,Foret,6.7,3825,35.4,1.1,53.5,133.3,72.2,62.1,182,3,Humide,Oui,52.9,Zone humide,Pas_de_risque
ZONE-1035,CZ585417,35.64517,-5.44068,Argileux,Ouest,Mixte,8.3,7250,58.7,4.65,441.0,89.0,44.6,63.4,128,2,Mediterraneen,Non,428.1,Drainage faible,Pas_de_risque
ZONE-1036,CZ681780,35.2063,-6.0093,Rocheux,Nord,Foret,6.2,5885,57.3,2.29,384.9,122.8,69.1,63.6,173,0,Humide,Oui,359.0,Drainage faible,Pas_de_risque
ZONE-1037,CZ707847,34.82559,-5.09015,Alluvial,Sud,Industriel,9.0,5372,42.1,1.15,47.8,92.2,49.6,38.0,191,3,Humide,Non,46.3,RAS,Pas_de_risque
ZONE-1038,CZ137641,35.88812,-6.42115,Sableux,Nord,Mixte,4.5,6408,49.9,3.72,214.2,119.2,60.3,58.8,174,3,Humide,Non,,,Risque
ZONE-1039,CZ909942,35.06053,-5.61794,Rocheux,Ouest,Foret,5.4,6730,40.3,1.81,397.1,126.2,66.4,61.5,150,3,Mediterraneen,Non,,Sol sature,Risque
ZONE-1040,CZ533816,34.59262,-6.03278,Argileux,Sud,Foret,10.4,3268,74.7,5.87,401.5,131.2,75.8,59.9,273,6,Humide,Oui,390.5,RAS,Risque
ZONE-1041,CZ698069,35.91454,-4.84759,Argileux,Ouest,Urbain,4.8,6842,77.6,2.96,415.0,143.4,80.5,51.4,131,1,Mediterraneen,Oui,411.6,,Risque
ZONE-1042,CZ388075,35.7775,-4.5887,Alluvial,Ouest,Industriel,6.5,3674,43.8,1.62,49.4,98.2,58.5,51.1,244,1,Humide,Non,50.3,RAS,Pas_de_risque
ZONE-1043,CZ620547,34.47738,-4.63982,Argileux,Sud,Industriel,4.8,4090,72.5,4.04,416.3,132.8,63.4,55.7,187,3,Humide,Oui,409.1,RAS,Risque
ZONE-1044,CZ535423,35.52206,-5.41747,Rocheux,Est,Urbain,7.0,5390,54.4,1.09,405.5,105.2,58.3,,172,2,Humide,Non,397.8,Zone humide,Pas_de_risque
ZONE-1045,CZ111745,34.50502,-6.49794,Alluvial,Sud,Urbain,5.9,5839,41.9,0.96,47.1,147.4,85.2,63.4,195,1,Humide,Non,49.6,,Pas_de_risque
ZONE-1046,CZ650719,34.45991,-6.07379,Argileux,Ouest,Agricole,8.7,6547,61.8,5.65,404.4,115.4,71.2,62.1,202,3,Mediterraneen,Non,395.5,RAS,Pas_de_risque
ZONE-1047,CZ877147,35.11683,-6.04892,Alluvial,Est,Foret,4.1,7400,38.0,0.73,46.5,134.4,78.3,59.6,137,0,Mediterraneen,Non,42.9,Sol sature,Pas_de_risque
ZONE-1048,CZ294555,35.1193,-6.48046,Argileux,Est,Agricole,6.3,2743,67.5,1.89,371.5,137.7,72.1,56.0,126,2,Humide,Non,,Sol sature,Pas_de_risque
ZONE-1049,CZ252360,35.56767,-5.53819,Argileux,Sud,Industriel,6.2,8597,78.3,3.63,406.3,160.3,79.6,59.7,105,5,Mediterraneen,Non,405.2,Sol sature,Risque
ZONE-1050,CZ619984,34.40716,-4.8191,Argileux,Sud,Mixte,6.7,9500,56.4,6.07,430.1,134.1,75.6,57.3,181,1,Mediterraneen,Non,404.3,,Risque
ZONE-1051,CZ620985,35.26312,-5.03377,Alluvial,Est,Mixte,4.1,5296,40.3,1.62,54.7,141.3,72.5,52.7,136,1,Mediterraneen,Non,55.4,RAS,Pas_de_risque
ZONE-1052,CZ144738,34.90758,-6.0279,Rocheux,Ouest,Urbain,7.4,8724,49.8,1.31,411.6,90.4,43.8,43.8,156,3,Mediterraneen,Non,394.1,RAS,Risque
ZONE-1053,CZ886713,34.24594,-6.03774,Sableux,Sud,Agricole,7.0,3711,68.7,2.89,221.1,99.3,47.3,38.8,183,4,Humide,Non,207.1,RAS,Risque
ZONE-1054,CZ596758,34.3543,-5.11475,Argileux,Nord,Agricole,7.7,2602,81.2,5.22,418.0,71.7,28.2,57.0,210,3,Humide,Non,400.9,RAS,Risque
ZONE-1055,CZ821384,35.56477,-5.36597,Alluvial,Est,Foret,8.1,8565,45.6,1.67,50.6,132.0,64.3,45.0,185,1,Mediterraneen,Non,48.0,RAS,Risque
ZONE-1056,CZ553449,34.02933,-5.32588,Argileux,Est,Mixte,10.0,5019,68.4,5.7,394.2,143.7,74.4,43.7,228,3,Humide,Non,374.8,Sol sature,Risque
ZONE-1057,CZ540097,34.39431,-5.54163,Rocheux,Sud,Foret,7.8,3664,45.0,0.68,415.3,74.7,36.8,56.9,218,2,Humide,Non,407.8,Drainage faible,Pas_de_risque
ZONE-1058,CZ421333,34.84905,-6.32592,Argileux,Est,Foret,7.7,6200,63.7,5.0,387.1,136.5,81.7,53.4,183,1,Humide,Non,382.4,RAS,Pas_de_risque
ZONE-1059,CZ561792,34.19107,-5.25228,Sableux,Nord,Foret,10.9,5699,61.7,3.12,236.0,96.9,47.4,55.9,187,2,Humide,Non,234.8,RAS,Pas_de_risque
ZONE-1060,CZ942186,34.89158,-5.05097,Sableux,Nord,Urbain,14.4,2740,59.6,2.05,221.6,86.2,55.3,63.3,206,1,Humide,Non,217.9,Drainage faible,Pas_de_risque
ZONE-1061,CZ813936,35.98828,-5.17632,Alluvial,Nord,Urbain,3.0,5932,32.4,0.92,45.7,101.5,60.6,58.2,112,3,Humide,Non,46.1,RAS,Pas_de_risque
ZONE-1062,CZ156273,35.34312,-6.31414,Alluvial,Sud,Agricole,11.2,8102,37.0,0.72,53.0,133.7,74.4,52.7,167,1,Mediterraneen,Non,,Zone humide,Pas_de_risque
ZONE-1063,CZ880965,35.00231,-5.70564,Rocheux,Ouest,Foret,6.7,6669,37.9,0.73,381.7,138.0,69.4,56.3,170,2,Mediterraneen,Non,373.3,,Pas_de_risque
ZONE-1064,CZ635426,35.52962,-6.15032,Alluvial,Sud,Industriel,9.1,5979,36.0,1.11,43.2,95.4,58.8,59.2,184,2,Humide,Non,,Sol sature,Pas_de_risque
ZONE-1065,CZ667201,34.77292,-5.37112,Alluvial,Ouest,Mixte,10.2,2795,38.4,1.17,46.4,153.5,81.6,57.0,178,1,Mediterraneen,Oui,46.7,Sol sature,Pas_de_risque
